trade_date,close,open,high,low,vol,pct_chg
19901220,104.39,104.3,104.39,99.98,,4.41
19901221,109.13,109.07,109.13,103.73,,4.54
19901224,114.55,113.57,114.55,109.13,,4.97
19901225,120.25,120.09,120.25,114.55,,4.98
19901226,125.27,125.27,125.27,120.25,,4.17
19901227,125.28,125.27,125.28,125.27,,0.01
19901228,126.45,126.39,126.45,125.28,,0.93
19901231,127.61,126.56,127.61,126.48,,0.92
19910110,133.97,133.93,133.97,133.34,,0.47
19910111,134.6,134.61,134.61,134.51,,0.47
19910114,134.67,134.11,135.19,134.11,,0.05
19910115,134.74,134.21,134.74,134.19,,0.05
19910116,134.24,134.19,134.74,134.14,,-0.37
19910117,134.25,133.67,134.25,133.65,,0.01
19910118,134.24,133.7,134.25,133.67,,-0.01
19910102,128.84,127.61,128.84,127.61,,0.96
19910121,134.24,133.7,134.24,133.66,,0.0
19910122,133.72,133.72,134.24,133.66,,-0.39
19910123,133.17,133.17,133.72,133.14,,-0.41
19910124,132.61,132.61,133.17,132.57,,-0.42
19910125,132.05,132.05,132.07,132.03,,-0.42
19910128,131.46,131.46,131.55,131.46,,-0.45
19910129,130.95,130.95,130.97,130.95,,-0.39
19910103,130.14,128.84,130.14,128.84,,1.01
19910130,130.44,130.44,130.95,130.41,,-0.39
19910131,129.97,129.93,130.46,129.93,,-0.36
19910104,131.44,131.27,131.44,130.14,,1.0
19910107,132.06,131.99,132.06,131.45,,0.47
19910108,132.68,132.62,132.68,132.06,,0.47
19910109,133.34,133.3,133.34,132.68,,0.5
19911010,191.01,190.71,191.01,189.12,,1.0
19911011,192.85,192.84,192.88,191.01,,0.96
19911014,194.67,194.06,194.69,192.32,,0.94
19911015,196.61,196.58,196.61,194.67,,1.0
19911016,198.57,198.51,198.57,196.61,,1.0
19911017,200.51,200.5,200.51,198.57,,0.98
19911018,202.51,202.5,202.51,200.51,,1.0
19911021,204.53,204.53,204.53,202.51,,1.0
19911022,206.53,206.06,206.53,204.53,,0.98
19911023,208.25,208.06,208.25,206.53,,0.83
19911024,210.07,210.2,210.2,208.25,,0.87
19911025,211.86,210.34,211.97,209.71,,0.85
19911028,213.98,213.5,213.98,211.86,,1.0
19911029,215.78,215.63,215.78,213.98,,0.84
19911003,182.48,181.55,182.48,179.8,,0.86
19911030,216.43,216.37,216.43,215.78,,0.3
19911031,218.6,218.59,218.6,216.43,,1.0
19911004,184.29,184.29,184.29,183.59,,0.99
19911007,186.0,185.95,186.0,185.41,,0.93
19911008,187.49,187.59,187.61,186.0,,0.8
19911009,189.12,188.49,189.12,186.31,,0.87
19911101,220.72,220.71,220.72,218.6,,0.97
19911111,233.55,233.48,233.55,231.22,,1.01
19911112,235.8,235.75,235.8,233.55,,0.96
19911113,236.67,236.51,236.67,235.8,,0.37
19911114,237.45,237.39,237.45,236.67,,0.33
19911115,238.25,238.25,238.25,237.45,,0.34
19911118,240.62,240.04,240.62,238.25,,0.99
19911119,242.24,242.24,242.24,240.62,,0.67
19911120,244.5,244.5,244.5,242.24,,0.93
19911121,246.31,246.26,246.31,244.5,,0.74
19911122,248.53,248.24,248.53,246.31,,0.9
19911125,250.85,250.84,250.85,248.53,,0.93
19911126,252.97,252.9,252.97,250.85,,0.85
19911127,255.45,255.27,255.45,252.97,,0.98
19911128,257.35,257.28,257.35,255.45,,0.74
19911129,259.6,259.68,259.85,257.35,,0.87
19911104,222.77,222.77,222.77,220.79,,0.93
19911105,224.65,224.44,224.65,222.77,,0.84
19911106,226.88,226.83,226.88,224.65,,0.99
19911107,228.93,228.93,228.93,226.88,,0.9
19911108,231.22,230.99,231.22,228.93,,1.0
19911210,272.91,270.27,272.91,270.27,,0.98
19911211,273.71,273.53,273.71,272.91,,0.29
19911212,274.41,274.41,274.41,273.71,,0.26
19911213,277.0,276.81,277.0,274.41,,0.94
19911216,277.85,277.53,277.85,277.0,,0.31
19911217,278.68,278.67,278.68,277.85,,0.3
19911218,279.51,279.32,279.51,278.68,,0.3
19911219,280.17,279.98,280.17,279.51,,0.24
19911202,262.19,261.78,262.19,259.67,,1.0
19911220,282.83,282.83,282.83,280.63,,0.95
