trade_date,close,open,high,low,vol,pct_chg
20121227,3570.82,3584.33,3630.61,3555.05,5.81K,-0.31
20121228,3644.38,3571.82,3644.55,3568.01,6.67K,2.06
20121231,3732.05,3652.18,3747.81,3652.18,8.30K,2.41
20130110,3743.66,3711.95,3780.03,3707.34,6.26K,0.96
20130111,3626.09,3742.73,3749.66,3610.89,6.42K,-3.14
20130114,3746.22,3615.85,3755.61,3612.57,6.53K,3.31
20130115,3758.17,3755.11,3766.6,3729.0,5.98K,0.32
20130116,3690.76,3748.89,3755.72,3647.69,6.34K,-1.79
20130117,3690.68,3681.45,3728.62,3672.08,5.01K,0.0
20130118,3820.49,3699.12,3820.49,3690.13,7.74K,3.52
20130121,3835.18,3880.91,3901.34,3830.77,8.07K,0.38
20130122,3792.1,3853.63,3853.63,3774.65,10.09K,-1.12
20130123,3806.14,3786.04,3857.78,3759.51,7.22K,0.37
20130124,3741.48,3795.36,3865.72,3701.64,9.26K,-1.7
20130125,3670.56,3736.81,3742.89,3666.29,4.88K,-1.9
20130128,3814.57,3669.5,3814.57,3669.5,7.23K,3.92
20130129,3826.49,3815.76,3883.78,3813.48,7.53K,0.31
20130130,3906.63,3825.48,3906.63,3816.2,7.77K,2.09
20130131,3768.16,3894.88,3897.02,3757.76,7.19K,-3.54
20130104,3767.79,3757.45,3794.0,3711.28,7.48K,0.96
20130107,3735.97,3754.51,3754.51,3698.26,5.40K,-0.84
20130108,3728.17,3734.02,3745.19,3668.4,6.99K,-0.21
20130109,3707.9,3718.83,3731.35,3681.41,5.52K,-0.54
20131010,3573.13,3547.9,3603.96,3539.85,7.27K,0.63
20131011,3588.4,3582.88,3599.6,3561.75,6.51K,0.43
20131014,3546.82,3590.97,3590.97,3530.76,8.50K,-1.16
20131015,3556.03,3557.22,3564.43,3526.82,8.87K,0.26
20131016,3464.56,3548.08,3548.08,3447.66,8.69K,-2.57
20131017,3459.43,3475.45,3493.44,3453.51,5.92K,-0.15
20131018,3478.28,3467.56,3489.63,3450.66,4.37K,0.54
20131021,3508.55,3480.14,3509.38,3447.11,5.66K,0.87
20131022,3489.53,3510.72,3513.8,3483.37,6.44K,-0.54
20131023,3458.49,3497.09,3524.23,3448.91,5.45K,-0.89
20131024,3438.34,3444.08,3463.46,3418.28,4.45K,-0.58
20131025,3397.16,3443.64,3460.46,3381.5,3.96K,-1.2
20131028,3353.1,3407.54,3407.54,3330.34,3.57K,-1.3
20131029,3291.65,3349.73,3375.14,3231.67,5.90K,-1.83
20131030,3331.76,3291.3,3332.25,3276.71,4.41K,1.22
20131031,3375.12,3378.07,3444.61,3371.34,6.99K,1.3
20131008,3558.87,3446.78,3559.58,3427.48,6.65K,3.35
20131009,3550.77,3543.62,3554.15,3520.79,6.00K,-0.23
20131101,3393.41,3369.29,3406.12,3361.44,3.88K,0.54
20131111,3223.8,3266.39,3274.51,3197.96,3.17K,-1.41
20131112,3250.32,3223.4,3256.08,3217.49,2.96K,0.82
20131113,3201.85,3237.95,3237.95,3201.85,3.06K,-1.49
20131114,3200.37,3205.89,3212.37,3177.3,4.57K,-0.05
20131115,3259.17,3202.26,3289.42,3197.29,5.50K,1.84
20131118,3343.8,3263.9,3343.8,3251.92,6.42K,2.6
20131119,3347.83,3335.45,3355.75,3317.78,5.61K,0.12
20131120,3350.71,3365.5,3369.35,3327.07,4.41K,0.09
20131121,3290.1,3322.84,3322.84,3273.45,6.14K,-1.81
20131122,3271.97,3293.36,3303.03,3260.22,5.47K,-0.55
20131125,3263.45,3254.68,3283.38,3237.29,4.94K,-0.26
20131126,3246.81,3263.47,3271.7,3239.4,4.09K,-0.51
20131127,3253.79,3244.76,3263.74,3224.35,4.49K,0.21
20131128,3293.98,3259.79,3316.62,3252.57,5.68K,1.24
20131129,3292.97,3297.66,3302.2,3282.53,4.34K,-0.03
20131104,3375.69,3400.7,3408.94,3369.29,2.87K,-0.52
20131105,3385.68,3363.32,3385.68,3327.26,3.14K,0.3
20131106,3338.47,3370.7,3376.62,3335.51,3.79K,-1.39
20131107,3324.04,3329.06,3343.49,3310.53,3.16K,-0.43
20131108,3270.04,3319.87,3334.38,3268.72,3.31K,-1.62
20131210,3253.57,3241.92,3262.47,3234.24,3.93K,0.4
20131211,3215.69,3246.24,3246.24,3200.07,3.84K,-1.16
20131212,3226.85,3212.67,3239.04,3210.31,3.53K,0.35
