date,title,content,more
2000-1,,,
2000-2,,,
2000-3,,,
2000-4,,,
2000-5,,,
2000-6,,,
2000-7,,,
2000-8,,,
2000-9,,,
2000-10,,,
2000-11,,,
2000-12,,,
2001-1,减税刺激房价翻倍,"2001年1月减征营业税(由5%降为3%),房产税(由12%降为4%),个人所得税(由20%降为10%)三个月房价上升一倍，北京申奥成功",
2001-2,,,
2001-3,,,
2001-4,,,
2001-5,,,
2001-6,,,
2001-7,,,
2001-8,,,
2001-9,,,
2001-10,,,
2001-11,,,
2001-12,,,
2002-1,,,
2002-2,,,
2002-3,,,
2002-4,,,
2002-5,,,
2002-6,招标拍卖房价走高,国有土地招标拍卖，地价走高；宏观调控减缓房价增长,
2002-7,,,
2002-8,,,
2002-9,,,
2002-10,,,
2002-11,,,
2002-12,,,
2003-1,,,
2003-2,房地产确定支柱产业,国家确立房地产为支柱产业政府继续抑制房价上升,
2003-3,,,
2003-4,,,
2003-5,非典时期房价下跌,非典感染；房价上升降温；物业管理行业规范化,
2003-6,,,
2003-7,,,
2003-8,重申支柱产业,为了进一步促进房地产市场健康发展，解决房地产价格投资增长过快等问题，国务院发布《国务院关于促进房地产市场持续健康发展的通知》（简称18号文）。提出“房地产业已经成为国民经济的支柱产业”，还提出要“促进房地产市场持续健康发展”。相关部门出台相应政策进行辅助,
2003-9,,,
2003-10,,,
2003-11,,,
2003-12,,,
2004-1,,,
2004-2,,,
2004-3,,,
2004-4,,,
2004-5,,,
2004-6,,,
2004-7,,,
2004-8,土拍时代到来,8月31日大限，所有土地都需要公开拍卖；经济适用房办法出台，房价涨幅过大,
2004-9,,,
2004-10,,,
2004-11,,,
2004-12,,,
2005-1,,,
2005-2,,,
2005-3,温和调控难消地产热,国务院发布8号文，要求高度重视稳定住房价格工作，政府先后出台调整土地供应、调节市场、信贷结构和开征交易税费等措施,
2005-4,,,
2005-5,,,
2005-6,,,
2005-7,,,
2005-8,,,
2005-9,,,
2005-10,,,
2005-11,,,
2005-12,,,
2006-1,,,
2006-2,,,
2006-3,,,
2006-4,,,
2006-5,,,
2006-6,,,
2006-7,国六条出台,国六条/7090政策；房地产供应结构规范化；房价上涨速度下降,
2006-8,,,
2006-9,,,
2006-10,,,
2006-11,,,
2006-12,,,
2007-1,,,
2007-2,,,
2007-3,,,
2007-4,,,
2007-5,,,
2007-6,,,
2007-7,,,
2007-8,,,
2007-9,北京房价突破每平米1万元,二套房首付不低于40%，利率不低于基准利率1.1倍，北京预售房房价突破一万元/平米,
2007-10,,,
2007-11,,,
2007-12,,,
2008-1,,,
2008-2,,,
2008-3,,,
2008-4,,,
2008-5,,,
2008-6,,,
2008-7,,,
2008-8,北京奥运会,北京奥运会,
2008-9,,,
2008-10,,,
2008-11,四万亿计划,国务院常务会议决定在未未2年内投资四万亿元以刺激经济。中国宏观经济政策第一次采用“积极的财政政策和适度宽松的货币政策”进行描述，并罕见地提出用“出手要快、出拳要重、措施要准、工作要实”的力度执行该计划。,
2008-12,应对国际金融危机和国内房地产销量下降,国务院发布《关于促进房地产市场健康发展的若干意见》，体现政府态度。地方政府纷纷出台救市措施。,
2009-1,,支持房地产消费；房价上涨；加强土地增值税征收,
2009-2,,,
2009-3,,,
2009-4,,,
2009-5,,,
2009-6,,,
2009-7,,,
2009-8,,,
2009-9,,,
2009-10,,,
2009-11,,,
2009-12,调控政策逐步收紧,国务院出台“国四条”，要求继续综合运用土地、金融、税收等手段来遏制部分城市房价的过快上涨。,
2010-1,,,
2010-2,,,
2010-3,,,
2010-4,“史上最严厉的调控”在“两会”之后拉开序幕,国十一条；新国十条；中央遏制房价上涨；楼市限购；中小房企消失,
2010-5,,,
2010-6,,,
2010-7,,,
2010-8,,,
2010-9,,,
2010-10,,,
2010-11,,,
2010-12,,,
2011-1,再添新策，效果凸显,新国八条；贷款首付比例增加；全面限购；上海房产税,
2011-2,,,
2011-3,,,
2011-4,,,
2011-5,,,
2011-6,,,
2011-7,,,
2011-8,,,
2011-9,,,
2011-10,,,
2011-11,,,
2011-12,,,
2012-1,,,
2012-2,限购政策出台,保障房政策；限购政策；房价下跌,
2012-3,,,
2012-4,,,
2012-5,,,
2012-6,,,
2012-7,,,
2012-8,,,
2012-9,货币宽松，房价转涨,货币政策宽松+部分区域房价从2012年下半年开始进入一轮小周期上涨。,
2012-10,,,
2012-11,,,
2012-12,,,
2013-1,,,
2013-2,,,
2013-3,,,
2013-4,,,
2013-5,房价出现分歧,新国五条：出售房屋征收20%个人所得税；建立不动产登记制度；一线城市暴涨；三四线城市房价暴跌,
2013-6,,,
2013-7,,,
2013-8,,,
2013-9,城镇化政策助推房价上涨,房贷新政；限购取消；城镇化新政；房价上涨,
2013-10,,,
2013-11,,,
2013-12,,,
2014-1,,,
2014-2,,,
2014-3,,,
2014-4,,,
2014-5,房价涨价退潮,首次出现70个大中城市新建商品住宅价格环比下跌,
2014-6,各地取消限购,呼和浩特首先取消实施三年的限购政策。截止2014年底，除北上广深，大部分实行限购的城市取消了限购政策,
2014-7,,,
2014-8,,,
