trade_date,close,open,high,low
1991-02-03,14.51,14.58,14.58,14.51
1991-02-10,14.94,14.66,14.94,14.66
1991-02-17,15.25,15.09,15.25,15.07
1991-02-24,15.33,15.33,15.33,15.33
1991-03-03,15.01,15.33,15.33,15.01
1991-03-10,14.58,14.86,14.86,14.58
1991-03-17,14.16,14.44,14.44,14.16
1991-03-24,13.74,14.02,14.02,13.74
1991-03-31,13.18,13.6,13.6,13.18
1991-04-07,12.91,13.11,13.11,12.91
1991-04-14,12.55,12.79,12.79,12.55
1991-04-21,12.19,12.37,12.37,12.19
1991-04-28,11.83,12.01,12.01,11.83
1991-05-05,11.53,11.71,11.71,11.53
1991-05-12,11.17,11.35,11.35,11.17
1991-05-19,11.29,11.05,11.29,10.99
1991-05-26,11.41,11.41,11.59,11.41
1991-06-02,11.29,11.29,11.29,11.29
1991-06-16,7.4,7.5,8.05,6.1
1991-06-23,6.65,6.55,7.0,6.5
1991-06-30,6.55,6.3,6.6,6.0
1991-07-07,6.1,6.6,6.65,6.0
1991-07-14,5.0,6.0,6.05,4.8
1991-07-21,5.65,5.5,6.3,4.5
1991-07-28,5.25,5.4,5.55,5.15
1991-08-04,5.3,5.2,5.3,4.9
1991-08-11,5.1,5.25,5.3,5.05
1991-08-18,5.05,5.15,5.15,5.0
1991-08-25,5.0,5.0,5.25,5.0
1991-09-01,4.95,5.05,5.1,4.9
1991-09-08,4.35,4.9,4.95,4.3
1991-09-15,4.65,4.3,4.75,4.3
1991-09-22,4.45,4.55,4.6,4.4
1991-09-29,4.55,4.45,4.75,4.45
1991-10-06,4.95,4.6,5.1,4.6
1991-10-13,8.1,4.95,10.1,4.95
1991-10-20,8.0,8.6,8.8,7.5
1991-10-27,7.9,8.0,8.0,7.5
1991-11-03,9.8,7.95,10.2,7.9
1991-11-10,10.55,9.7,11.65,9.2
1991-11-17,14.8,11.1,16.0,11.1
1991-11-24,13.6,14.75,14.75,10.6
1991-12-01,11.15,13.7,13.75,10.7
1991-12-08,11.2,11.0,11.8,10.5
1991-12-15,10.9,11.05,11.8,10.8
1991-12-22,11.2,11.1,11.5,11.0
1991-12-29,12.15,11.1,13.0,11.1
1992-01-05,12.4,12.5,12.55,12.1
1992-01-12,12.45,12.4,12.8,12.3
1992-01-19,11.8,12.5,12.5,11.2
1992-01-26,11.8,11.8,12.0,11.5
1992-02-02,12.25,11.65,12.4,11.6
1992-02-16,11.8,12.25,12.25,11.6
1992-02-23,11.7,11.75,11.8,11.6
1992-03-01,11.65,11.75,11.9,11.0
1992-03-08,11.55,11.65,11.85,11.25
1992-03-15,11.35,11.6,11.6,11.3
1992-03-22,11.1,11.35,11.55,10.9
1992-03-29,11.9,11.0,12.3,10.9
1992-04-05,10.4,11.9,11.9,10.1
1992-04-12,13.1,10.55,13.2,10.4
1992-04-19,15.55,13.25,17.0,13.25
1992-04-26,16.4,15.5,16.8,14.55
1992-05-03,17.05,16.55,17.5,15.7
1992-05-10,20.1,17.95,23.65,17.5
1992-05-17,23.2,20.25,23.55,19.4
1992-05-24,24.7,23.35,25.8,22.7
1992-05-31,25.5,24.85,26.8,23.85
1992-06-07,23.0,25.6,26.5,20.15
1992-06-14,21.0,23.15,23.15,19.9
1992-06-21,19.3,21.0,21.2,17.25
1992-06-28,19.9,19.15,20.0,18.0
1992-07-05,23.2,20.0,23.8,20.0
1992-07-12,22.35,23.35,23.5,21.8
1992-07-19,24.45,22.2,24.5,22.0
1992-07-26,26.9,24.6,27.0,24.6
1992-08-02,27.9,27.0,29.0,27.0
1992-08-09,28.3,27.9,28.4,25.75
1992-08-16,27.6,28.3,29.5,25.8
1992-08-23,27.6,27.75,29.0,26.6
1992-08-30,26.3,27.0,27.0,25.4
1992-09-06,23.7,26.15,26.15,23.5
1992-09-13,25.55,23.55,25.8,21.8
1992-09-20,25.1,25.7,26.3,24.5
1992-09-27,26.2,25.0,27.0,24.8
1992-10-04,26.0,26.25,26.4,25.8
1992-10-11,25.8,26.0,26.2,25.1
1992-10-18,25.2,25.95,26.45,24.7
1992-10-25,22.8,25.05,25.25,22.6
1992-11-01,22.3,22.65,22.65,19.5
1992-11-08,20.6,22.3,22.45,20.0
1992-11-15,18.1,20.5,20.7,17.7
1992-11-22,16.15,18.0,18.0,15.1
1992-11-29,19.3,16.2,20.0,15.0
1992-12-06,30.6,19.5,30.65,19.5
1992-12-13,32.2,30.75,33.8,30.7
1992-12-20,33.3,32.35,33.3,31.75
1992-12-27,33.6,33.45,34.0,32.55
1993-01-03,36.2,33.6,36.3,33.3
1993-01-10,36.55,36.35,36.7,35.5
1993-01-17,25.6,25.9,26.8,24.9
1993-01-24,26.1,25.75,26.7,25.7
1993-02-07,28.5,26.8,29.0,26.8
1993-02-14,27.5,28.65,30.95,26.7
1993-02-21,31.2,27.65,31.2,27.45
1993-02-28,29.75,31.35,32.8,28.5
1993-03-07,26.7,29.9,30.8,26.7
1993-03-14,31.2,26.85,31.35,26.85
1993-03-21,29.6,31.3,31.3,28.5
1993-03-28,29.6,29.45,30.3,27.5
1993-04-04,30.55,29.6,31.5,29.3
1993-04-11,21.4,20.5,22.0,20.25
1993-04-18,21.8,21.55,22.5,21.2
1993-04-25,21.15,21.95,22.0,20.95
1993-05-02,20.85,21.1,21.55,20.65
1993-05-09,19.65,21.0,21.15,18.7
1993-05-16,20.3,19.8,20.6,18.1
1993-05-23,18.8,20.45,20.5,18.5
1993-05-30,18.3,18.95,19.0,17.85
1993-06-06,18.45,18.2,18.95,18.0
1993-06-13,17.25,18.3,18.55,17.0
1993-06-20,17.4,17.3,17.5,16.3
1993-06-27,16.9,17.55,17.85,16.7
1993-07-04,16.8,17.0,17.1,15.7
1993-07-11,15.85,16.95,18.0,15.7
1993-07-18,14.4,15.7,15.7,14.3
1993-07-25,14.05,14.2,14.2,12.65
1993-08-01,15.5,14.1,15.7,13.65
1993-08-08,15.5,15.65,16.3,15.0
1993-08-15,19.25,15.5,19.3,15.5
1993-08-22,17.6,19.4,21.9,17.2
1993-08-29,15.85,17.45,17.45,15.0
1993-09-05,16.4,15.7,16.7,15.6
1993-09-12,15.7,16.25,16.55,15.6
1993-09-19,14.9,15.55,15.55,14.85
1993-09-26,15.1,14.8,16.2,14.5
1993-10-03,15.6,15.0,15.9,15.0
1993-10-10,15.6,15.75,16.4,15.55
1993-10-17,15.6,15.85,15.9,15.35
1993-10-24,15.05,15.6,15.6,15.0
1993-10-31,15.2,14.95,15.75,14.5
1993-11-07,15.15,15.05,15.4,14.95
1993-11-14,17.2,15.3,18.0,15.25
1993-11-21,16.85,17.35,17.8,16.6
1993-11-28,16.15,17.0,17.1,15.8
1993-12-05,16.35,16.0,16.5,15.8
1993-12-12,17.15,16.45,17.5,16.4
1993-12-19,16.6,17.3,17.4,16.1
1993-12-26,16.7,16.6,16.9,15.8
1994-01-02,17.95,17.0,18.5,16.35
1994-01-09,17.95,17.95,18.25,17.3
1994-01-16,16.85,17.9,17.9,16.6
1994-01-23,16.1,16.85,17.15,16.1
1994-01-30,14.85,16.4,16.5,14.8
1994-02-06,16.15,14.55,16.2,13.8
1994-02-20,14.2,16.15,16.15,14.0
1994-02-27,14.4,14.0,15.0,13.7
1994-03-06,13.4,14.5,14.5,13.2
1994-03-13,12.8,13.4,13.5,12.3
1994-03-20,12.85,13.1,13.95,12.8
1994-03-27,12.0,12.85,13.1,11.85
1994-04-03,13.6,12.1,13.95,11.6
1994-04-10,11.55,12.8,13.9,11.5
1994-04-17,10.7,11.4,13.0,9.5
1994-04-24,8.55,10.5,10.55,8.2
1994-05-01,10.0,8.3,10.25,8.3
1994-05-08,10.17,10.3,11.7,9.7
1994-05-15,11.16,10.8,11.48,10.3
1994-05-22,10.8,11.3,11.34,10.48
1994-05-29,9.12,10.8,10.8,9.1
1994-06-05,8.15,9.01,9.01,8.15
1994-06-12,8.03,8.15,8.25,7.8
1994-06-19,8.36,7.85,8.45,7.58
1994-06-26,5.65,8.35,8.35,5.62
1994-07-03,5.13,5.55,5.55,5.11
1994-07-10,5.1,5.06,5.19,4.9
1994-07-17,4.75,5.1,5.1,4.7
1994-07-24,4.56,4.5,4.7,4.38
1994-07-31,4.75,4.51,5.51,4.5
1994-08-07,7.36,5.68,7.44,5.4
1994-08-14,7.28,7.66,8.08,6.7
1994-08-21,7.16,7.2,7.6,7.0
1994-08-28,6.68,7.0,7.0,6.58
1994-09-04,7.3,6.6,7.35,6.4
1994-09-11,10.6,7.5,12.5,7.5
1994-09-18,10.02,10.68,11.4,9.78
1994-09-25,9.7,10.05,10.25,9.16
1994-10-02,8.67,9.62,10.4,8.6
1994-10-09,7.65,8.3,8.4,6.0
1994-10-16,6.73,7.65,7.65,6.2
1994-10-23,6.7,6.65,7.11,6.2
1994-10-30,6.55,6.9,7.2,6.4
1994-11-06,6.29,6.4,6.6,6.15
1994-11-13,6.41,6.29,6.55,6.1
1994-11-20,6.3,6.6,6.65,6.25
