trade_date,close,open,high,low
1990-12-31,127.61,104.3,127.61,99.98
1991-01-31,129.97,127.61,135.19,127.61
1991-02-28,133.01,129.5,134.87,128.06
1991-03-31,120.19,132.53,132.53,120.11
1991-04-30,113.94,120.69,122.2,113.89
1991-05-31,114.83,113.04,114.83,104.96
1991-06-30,137.56,115.9,137.56,114.89
1991-07-31,143.8,136.64,143.8,131.87
1991-08-31,178.43,145.12,178.43,143.8
1991-09-30,180.92,180.08,191.18,178.43
1991-10-31,218.6,181.55,218.6,179.8
1991-11-30,259.6,220.71,259.85,218.6
1991-12-31,292.75,261.78,292.75,259.67
1992-01-31,313.24,293.74,313.24,292.76
1992-02-29,364.66,314.18,364.67,313.24
1992-03-31,381.24,365.15,382.06,364.66
1992-04-30,445.38,381.55,448.94,381.01
1992-05-31,1234.71,454.86,1429.01,439.96
1992-06-30,1191.19,1175.69,1249.58,1033.47
1992-07-31,1052.07,1199.54,1215.24,961.61
1992-08-31,823.27,1034.7,1060.36,627.36
1992-09-30,702.32,826.96,832.84,595.42
1992-10-31,507.25,676.47,713.77,447.93
1992-11-30,724.6,471.18,752.32,386.85
1992-12-31,780.39,718.99,841.02,592.78
1993-01-31,1198.48,802.14,1198.48,777.16
1993-02-28,1339.88,1250.16,1558.95,1196.47
1993-03-31,925.91,1328.22,1339.1,913.74
1993-04-30,1358.78,921.59,1392.62,915.59
1993-05-31,935.48,1379.71,1380.5,930.64
1993-06-30,1007.05,935.9,1177.91,859.48
1993-07-31,881.07,1000.8,1009.89,777.73
1993-08-31,895.68,894.9,1042.47,823.0
1993-09-30,890.27,898.01,947.53,864.38
1993-10-31,814.74,895.69,934.4,774.54
1993-11-30,984.93,801.86,1011.76,793.32
1993-12-31,833.8,993.67,1044.85,750.46
1994-01-31,770.25,833.9,900.3,770.25
1994-02-28,770.98,770.25,818.57,749.31
1994-03-31,704.46,771.52,806.41,669.87
1994-04-30,592.56,704.46,704.92,536.33
1994-05-31,556.26,591.39,620.76,541.66
1994-06-30,469.29,556.26,556.9,458.78
1994-07-31,333.92,469.27,469.37,325.92
1994-08-31,785.33,394.87,787.09,378.24
1994-09-30,791.15,785.33,1052.25,756.6
1994-10-31,654.98,791.11,794.58,547.26
1994-11-30,683.59,664.56,741.86,648.68
1994-12-31,647.87,683.38,695.22,620.46
1995-01-31,562.59,637.73,657.45,547.39
1995-02-28,549.26,559.78,608.25,524.43
1995-03-31,646.91,548.91,647.77,545.74
1995-04-30,579.93,650.98,680.73,548.75
1995-05-31,700.51,577.95,926.41,564.86
1995-06-30,630.58,703.72,722.28,625.95
1995-07-31,695.55,623.13,723.37,610.74
1995-08-31,723.87,697.22,788.28,688.65
1995-09-30,722.43,726.05,792.04,699.11
1995-10-31,717.31,724.03,765.22,693.81
1995-11-30,641.13,716.46,736.9,632.02
1995-12-31,555.29,631.55,641.68,552.86
1996-01-31,537.35,550.25,561.37,512.82
1996-02-29,552.93,536.24,553.76,518.25
1996-03-31,556.39,580.03,606.37,549.7
1996-04-30,681.16,566.21,739.16,556.28
1996-05-31,643.65,715.98,725.16,630.42
1996-06-30,804.25,643.96,819.84,636.46
1996-07-31,822.48,800.91,894.73,753.64
1996-08-31,809.94,823.17,894.86,766.7
1996-09-30,875.52,812.94,875.52,752.68
1996-10-31,976.71,887.85,1038.81,852.83
1996-11-30,1032.95,935.17,1047.39,896.88
1996-12-31,917.02,1056.67,1258.69,855.85
1997-01-31,964.74,914.06,967.9,871.78
1997-02-28,1040.27,969.53,1040.33,870.18
1997-03-31,1234.62,1044.61,1234.96,1043.93
1997-04-30,1393.75,1243.87,1396.48,1222.56
1997-05-31,1285.18,1398.14,1510.18,1213.24
1997-06-30,1250.27,1302.82,1369.51,1154.97
1997-07-31,1189.76,1255.91,1261.57,1066.04
1997-08-31,1221.06,1191.65,1223.07,1116.15
1997-09-30,1097.38,1224.18,1264.49,1025.13
1997-10-31,1180.39,1100.7,1241.83,1087.02
1997-11-30,1139.63,1181.16,1213.23,1114.14
1997-12-31,1194.1,1137.59,1198.97,1119.2
1998-01-31,1222.91,1200.95,1250.01,1110.09
1998-02-28,1206.53,1257.99,1262.62,1189.52
1998-03-31,1243.02,1196.74,1252.24,1175.55
1998-04-30,1343.45,1243.37,1343.46,1240.06
1998-05-31,1411.21,1353.06,1411.35,1324.72
1998-06-30,1339.2,1418.35,1422.98,1323.53
1998-07-31,1316.92,1363.27,1367.15,1278.3
1998-08-31,1150.22,1315.13,1315.47,1043.02
1998-09-30,1242.9,1142.5,1264.4,1123.63
1998-10-31,1217.32,1245.74,1263.71,1191.56
1998-11-30,1247.42,1217.34,1300.15,1210.85
1998-12-31,1146.7,1249.01,1251.87,1125.56
1999-01-31,1134.67,1144.89,1174.43,1104.5
1999-02-28,1090.09,1131.65,1131.66,1064.17
1999-03-31,1158.05,1092.14,1179.65,1084.16
1999-04-30,1120.93,1158.68,1210.1,1087.79
1999-05-31,1279.33,1120.91,1303.48,1047.83
1999-06-30,1689.43,1283.3,1756.18,1259.01
1999-07-31,1601.46,1678.84,1678.84,1471.51
1999-08-31,1627.12,1607.06,1658.69,1546.84
1999-09-30,1570.7,1627.82,1695.64,1556.74
1999-10-31,1504.56,1568.24,1568.38,1452.71
1999-11-30,1434.97,1501.73,1506.99,1427.36
1999-12-31,1366.58,1434.98,1461.9,1341.05
2000-01-31,1535.0,1368.69,1547.71,1361.21
2000-02-29,1714.58,1591.44,1770.88,1583.58
2000-03-31,1800.22,1720.6,1811.06,1596.07
2000-04-30,1836.32,1799.58,1858.27,1746.3
