trade_date,close,open,high,low
2012-12-31,3732.05,3584.33,3747.81,3555.05
2013-01-31,3768.16,3757.45,3906.63,3610.89
2013-02-28,3747.27,3768.9,3873.51,3540.92
2013-03-31,3375.73,3747.29,3760.79,3291.62
2013-04-30,3419.26,3382.99,3633.66,3348.3
2013-05-31,3857.01,3408.53,4006.5,3396.65
2013-06-30,3269.05,3856.51,3926.7,2873.85
2013-07-31,3363.09,3237.12,3599.29,3132.09
2013-08-31,3519.3,3367.16,3689.8,3366.64
2013-09-30,3443.65,3518.91,3718.77,3401.97
2013-10-31,3375.12,3446.78,3603.96,3231.67
2013-11-30,3292.97,3369.29,3408.94,3177.3
2013-12-31,3129.08,3254.15,3290.31,3019.87
2014-01-31,2945.21,3119.85,3129.36,2780.13
2014-02-28,2794.82,2921.17,3080.49,2725.76
2014-03-31,3075.33,2789.05,3144.41,2741.88
2014-04-30,2982.99,3077.76,3237.48,2935.32
2014-05-31,3009.45,2973.22,3058.85,2835.63
2014-06-30,2925.41,3004.59,3023.43,2828.6
2014-07-31,3401.73,2927.44,3401.73,2920.49
2014-08-31,3520.28,3381.18,3577.43,3346.16
2014-09-30,3757.25,3522.16,3763.3,3512.19
2014-10-31,3805.15,3835.41,3924.28,3585.8
2014-11-30,4278.89,3820.77,4283.28,3739.16
2014-12-31,5011.71,4289.05,5011.71,4199.61
2015-01-31,5009.54,5128.0,5308.3,4556.27
2015-02-28,5250.76,4929.09,5267.03,4783.37
2015-03-31,6669.46,5333.76,6984.2,5128.32
2015-04-30,7577.68,6672.5,7651.31,6576.45
2015-05-31,7944.26,7648.34,8613.12,6882.32
2015-06-30,7883.74,7979.69,9688.12,6973.31
2015-07-31,6573.75,7763.61,7957.33,5658.2
2015-08-31,5920.0,6504.31,7491.33,5393.74
2015-09-30,5344.74,5870.74,5904.01,5228.93
2015-10-31,6206.62,5519.08,6485.26,5490.06
2015-11-30,6649.39,6066.38,6991.3,5989.23
2015-12-31,7229.28,6648.0,7757.32,6586.45
2016-01-31,5295.13,7225.16,7225.89,5020.6
2016-02-29,5280.69,5280.36,5837.47,5170.99
2016-03-31,5752.46,5326.61,6088.18,5292.66
2016-04-30,5589.23,5737.48,5979.67,5535.88
2016-05-31,5481.49,5592.75,5748.1,5250.9
2016-06-30,5497.85,5480.21,5551.59,5281.8
2016-07-31,5337.18,5501.69,5650.93,5300.57
2016-08-31,5944.29,5322.12,6302.0,5237.94
2016-09-30,5864.12,5935.6,5958.0,5610.07
2016-10-31,5834.38,5811.78,5922.76,5693.01
2016-11-30,6129.88,5842.66,6243.89,5780.73
2016-12-31,5699.39,6126.54,6263.94,5665.2
2017-01-31,5566.6,5708.7,5783.19,5300.78
2017-02-28,5732.66,5574.54,5815.33,5533.05
2017-03-31,5638.92,5733.72,5911.21,5598.13
2017-04-30,5634.15,5743.84,6187.26,5512.47
2017-05-31,5591.75,5634.15,5674.03,5265.19
2017-06-30,5861.73,5562.84,5960.88,5491.24
2017-07-31,5887.4,5866.55,5917.68,5550.52
2017-08-31,5763.38,5867.7,5903.75,5550.91
2017-09-30,5821.29,5760.07,6281.64,5724.45
2017-10-31,5803.92,5932.11,5942.34,5695.03
2017-11-30,5737.73,5805.04,5891.14,5541.46
2017-12-31,5694.17,5716.24,5792.28,5478.94
2018-01-31,6451.69,5723.12,6729.9,5723.12
2018-02-28,5806.37,6461.4,6485.07,5493.98
2018-03-31,5644.59,5765.63,5917.26,5320.54
2018-04-30,5305.82,5654.67,5736.73,5248.14
2018-05-31,5079.05,5318.25,5498.38,4993.64
2018-06-30,4588.23,5054.68,5196.65,4462.38
2018-07-31,4571.92,4584.76,4623.34,4174.0
2018-08-31,4349.07,4545.98,4545.98,4185.85
2018-09-30,4366.55,4333.03,4529.69,4192.46
2018-10-31,4159.0,4279.11,4279.11,3718.07
2018-11-30,4230.33,4192.56,4504.44,4089.82
2018-12-31,4039.22,4307.4,4357.55,3983.02
2019-01-31,4031.3,4009.1,4106.45,3858.16
2019-02-28,4660.59,4055.65,4746.28,4009.61
2019-03-31,5172.76,4678.77,5176.92,4612.78
2019-04-30,4922.29,5229.82,5607.38,4847.88
2019-05-31,4462.65,4769.39,4796.68,4418.14
2019-06-30,4451.46,4466.69,4563.54,4345.06
2019-07-31,4414.73,4510.97,4780.0,4383.91
2019-08-31,4132.83,4391.26,4400.91,4038.04
2019-09-30,4115.96,4139.2,4410.78,4114.22
2019-10-31,4209.09,4129.57,4447.9,4122.35
2019-11-30,4159.97,4200.89,4303.23,4029.39
2019-12-31,4593.1,4179.54,4605.04,4179.54
2020-01-31,4202.87,4660.01,4722.11,4178.24
2020-02-29,4194.27,3782.63,4421.73,3672.23
2020-03-31,3925.1,4213.84,4623.57,3714.91
2020-04-30,4005.12,3946.57,4090.0,3860.2
2020-05-31,3932.96,3968.99,4027.65,3826.41
2020-06-30,4033.42,3946.33,4111.11,3890.24
2020-07-31,4326.01,4037.79,4892.82,4029.84
2020-08-31,4391.45,4354.88,4642.49,4326.46
2020-09-30,4076.93,4393.38,4438.45,4041.25
2020-10-31,3859.73,4100.23,4242.1,3856.51
2020-11-30,4067.65,3858.89,4197.97,3840.59
2020-12-31,3756.1,4064.21,4190.08,3645.98
2021-01-31,3467.76,3729.34,3939.76,3449.9
2021-02-28,3755.81,3451.72,3950.92,3393.53
2021-03-31,3559.2,3768.61,3858.72,3532.77
2021-04-30,3498.33,3564.58,3647.33,3477.14
2021-05-31,3599.38,3497.43,3645.08,3407.19
2021-06-30,3249.15,3593.53,3593.53,3236.82
2021-07-31,2731.2,3261.01,3348.97,2687.99
2021-08-31,2815.73,2715.72,3004.15,2675.37
2021-09-30,3042.41,2821.36,3080.35,2773.34
2021-10-31,2687.25,3070.64,3138.84,2660.09
2021-11-30,2715.87,2668.98,2844.62,2522.7
2021-12-31,3011.09,2717.97,3117.26,2717.52
2022-01-31,2986.45,2996.57,3260.69,2964.4
2022-02-28,2916.92,2944.72,3149.0,2887.02
2022-03-31,3186.82,2902.21,3257.89,2437.29
2022-04-30,2922.76,3155.22,3427.67,2652.57
2022-05-31,2596.91,2905.2,2953.81,2555.35
2022-06-30,2714.34,2589.54,2727.19,2437.75
2022-07-31,2567.18,2715.75,2744.37,2398.87
2022-08-31,2528.18,2549.53,2615.05,2346.17
2022-09-30,2485.42,2529.16,2781.14,2429.57
2022-10-31,2145.38,2491.75,2552.32,2113.88
2022-11-30,2698.33,2149.69,2808.9,2120.62
2022-12-31,2407.32,2687.78,2731.09,2381.69
2023-01-31,2548.81,2407.24,2572.01,2400.87
